Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 10}",0.03875775724903333,0.4416592572245498
"Jul IntMnt Ref Test, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.03884700108670738,0.4403736185769136
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Random Forest,"{'max_features': 10, 'random_state': 47392, 'n_estimators': 20}",0.039926379855970695,0.42482418572675673
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 1.0}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.04010302690560607,0.42227942431889764
"Jul IntMnt Dry Test Scaled features selected via ICA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.04019359912804319,0.4209746490806032
"Jul IntMnt Dry Test Scaled features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.040762096825159015,0.412784922713459
"Jul IntMnt Ref Test Scaled, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': False, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.04083895220438938,0.4116777510768226
"Jul IntMnt Ref Test Scaled, Test Score",Averaging Ensemble,"{'weights': [0.75141399874592907, 0.71806074653742447, 0.50483472338615309], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.04114068565904964,0.40733100624035723
"Jul IntMnt Ref Test features selected via ICA n20, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.04258858485154922,0.3864727015296441
"Jul IntMnt Ref Test features selected via ICA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",0.04260595618090607,0.3862224517312933
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",Averaging Ensemble,"{'weights': [0.63665243547426198, 0.72039055086705994, 0.70085186598131421], 'predictorConfigurations': [Ridge Regression {'alpha': 1.0, 'normalize': False}, Random Forest {'max_features': 10, 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.043083541764628745,0.37934239704079087
