Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",7547.713354442748,0.7888000065002532
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",7715.651007618321,0.7841007777943609
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 10}",7766.195506959923,0.7826864424279932
"Jul IntMnt Ref Test Scaled features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",7966.382379328248,0.7770848165901442
"Jul IntMnt Ref Test Scaled, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",7970.096019572525,0.7769809015686509
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",8011.460808658397,0.7758234327067853
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",8020.485062625952,0.7755709161776347
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",8289.619591908398,0.7680399981146757
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Random Forest,"{'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}",8672.79270486832,0.7573180542402732
"Jul IntMnt Ref Test, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",8885.687566015267,0.7513608336651306
"Jul IntMnt Ref Test features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",8885.687566015267,0.7513608336651306
"Jul IntMnt Ref Test features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",8885.687566015267,0.7513608336651306
"Jul IntMnt Ref Test features selected via PCA n20, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",8958.100770778627,0.749334568535929
