STAID,ID,Month,Year,qmeas,X.1,granitic,sedimentary,volcanic,SGEO8,SGEO44,HLR16,HLR18,HLR19,HLR20
T10336600,T10336600,7,1963,63.87,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1961,11.43,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1972,22.65,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1968,15.06,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336600,T10336600,7,1971,74.48,0.09238578680203044,1.0,0.0,0.0,1.0,0.0,0.003006012024048096,0.993,0.0,0.0
T10336645,T10336645,7,1989,1.58,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2006,3.36,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1997,2.46,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1991,1.51,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2001,0.92,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1992,0.96,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1985,1.12,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1999,5.31,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2002,1.18,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1982,8.69,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1984,2.71,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1993,4.94,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2000,1.74,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1990,1.16,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2003,1.85,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2004,1.24,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2005,4.98,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2007,1.05,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2010,4.69,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,2009,1.23,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
T10336645,T10336645,7,1996,4.09,0.09746192893401015,1.0,0.0,0.0,1.0,0.0,0.9889779559118237,0.011000000000000001,0.0,0.0
